task_id,system,module_id,language,loc,cyclomatic_complexity,loop_count,pointer_use,fan_in,fan_out,recursion,switch_density,macro_expansion_size,changed_code_size,property_type,criticality_flag,previous_runtime_s,previous_timeout,previous_warning_count,previous_confirmed_warning_ratio,previous_human_escalation,fast_status,precise_status,split
system_a_task_0001,system_a,mod_0001,C,135,6,4,0,29,9,0,0.061,841,88,assertion,0,36.09,1,4,0.123,0,verified,timeout,train
system_a_task_0002,system_a,mod_0002,C,479,5,3,1,1,18,0,0.356,1176,67,nullness,0,1.49,0,6,0.836,0,unknown,verified,train
system_a_task_0003,system_a,mod_0003,C,289,2,5,0,25,15,0,0.312,1082,157,concurrency,0,5.23,0,4,0.894,0,verified,defect,test
system_a_task_0004,system_a,mod_0004,C,414,4,2,1,22,18,0,0.263,188,144,memory_safety,0,2.1,0,9,0.635,0,unknown,verified,train
system_a_task_0005,system_a,mod_0005,C,585,8,4,0,21,1,0,0.302,1267,61,assertion,0,8.2,0,4,0.929,0,verified,verified,test
system_a_task_0006,system_a,mod_0006,C,354,5,6,1,27,23,0,0.03,946,71,range,0,6.96,0,3,0.704,0,verified,verified,train
system_a_task_0007,system_a,mod_0007,C,655,4,4,0,0,20,0,0.012,149,7,assertion,0,7.68,0,5,0.175,0,verified,verified,train
system_a_task_0008,system_a,mod_0008,C,145,5,5,0,21,5,0,0.07,928,151,concurrency,0,10.49,0,9,0.331,0,unknown,verified,train
system_a_task_0009,system_a,mod_0009,C,274,9,1,1,35,15,0,0.364,1672,24,concurrency,0,1.21,0,2,0.259,0,verified,timeout,train
system_a_task_0010,system_a,mod_0010,C,502,10,2,1,24,14,0,0.355,890,97,memory_safety,0,6.62,0,4,0.709,0,verified,verified,train
system_a_task_0011,system_a,mod_0011,C,643,5,0,0,15,5,0,0.275,9330,12,concurrency,0,7.83,0,6,0.09,0,verified,verified,train
system_a_task_0012,system_a,mod_0012,C,393,7,3,0,1,1,0,0.142,1173,110,assertion,0,6.04,0,1,0.53,0,verified,timeout,train
system_a_task_0013,system_a,mod_0013,C,186,3,2,1,35,10,0,0.442,955,108,range,0,32.47,0,8,0.926,0,verified,verified,train
system_a_task_0014,system_a,mod_0014,C,445,9,2,0,36,0,0,0.291,1119,140,assertion,0,11.88,0,1,0.394,0,verified,timeout,train
